bsr,db,kp1,kp2,kp3,kp4,kp5,kp6,kp7,kp8,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap,sn,f10.7obs,f10.7adj,d,epoch,f10.7_81
2569,24,2.333,4.0,2.333,1.667,1.667,3.0,3.0,1.333,9,27,9,6,6,15,15,5,12,48,93.9,90.8,2,2022-01-01,107.6604938271605
2569,25,3.0,1.667,1.333,1.333,1.0,2.333,2.333,3.333,15,6,5,5,4,9,9,18,9,27,89.0,86.0,2,2022-01-02,107.6604938271605
2569,26,2.0,4.0,3.333,3.0,2.0,1.333,1.667,2.0,7,27,18,15,7,5,6,7,12,10,84.0,81.3,2,2022-01-03,107.6604938271605
2569,27,2.333,3.0,0.667,1.333,0.667,0.0,0.333,0.333,9,15,3,5,3,0,2,2,5,10,85.5,82.7,2,2022-01-04,107.6604938271605
2570,1,0.667,2.333,0.0,0.0,0.667,1.333,0.0,0.0,3,9,0,0,3,5,0,0,2,23,83.7,81.0,2,2022-01-05,107.6604938271605
2570,2,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0,0,0,0,0,0,2,0,0,34,93.7,90.6,2,2022-01-06,107.6604938271605
2570,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,44,107.3,103.8,2,2022-01-07,107.6604938271605
2570,4,0.0,0.0,1.0,0.667,1.0,1.333,5.0,4.667,0,0,4,3,4,5,48,39,13,44,102.4,99.1,2,2022-01-08,107.6604938271605
2570,5,3.0,2.333,2.0,0.667,2.0,1.333,2.0,2.667,15,9,7,3,7,5,7,12,8,54,102.1,98.7,2,2022-01-09,107.6604938271605
2570,6,2.333,2.0,0.333,0.333,1.0,2.0,2.333,1.667,9,7,2,2,4,7,9,6,6,54,102.2,98.8,2,2022-01-10,107.6604938271605
2570,7,0.667,1.333,0.667,1.0,1.333,2.0,0.667,0.0,3,5,3,4,5,7,3,0,4,51,100.0,96.7,2,2022-01-11,107.6604938271605
2570,8,0.333,1.0,0.0,0.0,0.667,1.0,1.333,1.0,2,4,0,0,3,4,5,4,3,76,103.2,99.8,2,2022-01-12,107.6604938271605
2570,9,1.0,0.0,0.0,0.333,0.333,0.333,1.0,1.0,4,0,0,2,2,2,4,4,2,85,105.5,102.1,2,2022-01-13,107.6604938271605
2570,10,0.0,0.0,0.333,1.0,2.0,2.667,4.0,5.667,0,0,2,4,7,12,27,67,15,98,110.2,106.6,2,2022-01-14,107.6604938271605
2570,11,4.333,3.667,2.333,1.667,2.667,3.0,4.0,4.667,32,22,9,6,12,15,27,39,20,95,115.6,111.8,2,2022-01-15,107.6604938271605
2570,12,3.667,3.333,2.333,2.667,2.333,2.667,4.333,3.0,22,18,9,12,9,12,32,15,16,102,119.4,115.6,2,2022-01-16,107.6604938271605
